"Model","Simulation","Sample_Size","N_False_Covariates","Covariate","True_Effect","Estimate","SE","p_value","Significant","RMSE_data","RMSE_latent"
"Covariate_Only",1,50,1,"real",1,0.0364308056489468,0.303100881839932,0.904842075669578,FALSE,0.329816260599155,0.24625835750072
"Covariate_Only",1,50,1,"false_1",0,0.607440090084011,0.227538263092417,0.0103932827856567,TRUE,0.329816260599155,0.24625835750072
"VAST_GMRF",1,50,1,"real",1,1.24651721559191,0.278627664949602,7.68509527249162e-06,TRUE,0.397695817527914,0.328289923965117
"VAST_GMRF",1,50,1,"false_1",0,0.757484402959828,0.26502618843679,0.00426119906835765,TRUE,0.397695817527914,0.328289923965117
"VAST_RSR",1,50,1,"real",1,0.0364308056538816,0.174944594630356,0.835040045624899,FALSE,0.329816260599155,0.246258357500701
"VAST_RSR",1,50,1,"false_1",0,0.607440090084622,0.131331156009702,3.74137760705828e-06,TRUE,0.329816260599155,0.246258357500701
"VAST_Selected",1,50,1,"real",1,0.0364308056538816,0.174944594630356,0.835040045624899,FALSE,0.329816260599155,0.246258357500701
"VAST_Selected",1,50,1,"false_1",0,0.607440090084622,0.131331156009702,3.74137760705828e-06,TRUE,0.329816260599155,0.246258357500701
"Covariate_Only",2,50,1,"real",1,1.74461937894417,0.235461846772065,1.96313062517347e-09,TRUE,0.321234226406157,0.294884070921378
"Covariate_Only",2,50,1,"false_1",0,-0.56315524269623,0.212008582866827,0.0107562246532171,TRUE,0.321234226406157,0.294884070921378
"VAST_GMRF",2,50,1,"real",1,1.10505438214751,0.295144814845335,0.000181034994674145,TRUE,0.347850275008669,0.311952502076346
"VAST_GMRF",2,50,1,"false_1",0,-0.308690116448487,0.229773923118012,0.179125827868649,FALSE,0.347850275008669,0.311952502076346
"VAST_RSR",2,50,1,"real",1,1.74461937894417,0.0970240008987552,0,TRUE,0.321234226406157,0.294884070921378
"VAST_RSR",2,50,1,"false_1",0,-0.56315524269623,0.0873598895812929,1.14551479413194e-10,TRUE,0.321234226406157,0.294884070921378
"VAST_Selected",2,50,1,"real",1,1.64850553290894,0.104070027494343,0,TRUE,0.344503973588283,0.310522359902058
"Covariate_Only",3,50,1,"real",1,1.10612713625357,0.254668402745571,7.43179301584544e-05,TRUE,0.28017858195564,0.230522312039465
"Covariate_Only",3,50,1,"false_1",0,0.082229996032188,0.170330250679066,0.631501573416148,FALSE,0.28017858195564,0.230522312039465
"VAST_GMRF",3,50,1,"real",1,0.926745331768633,0.226188731474573,4.18138778084387e-05,TRUE,0.282931576528479,0.23549146797727
"VAST_GMRF",3,50,1,"false_1",0,0.181678613548472,0.208543892943118,0.383657593334778,FALSE,0.282931576528479,0.23549146797727
"VAST_RSR",3,50,1,"real",1,1.10612713625357,0.13385207931977,1.11022302462516e-16,TRUE,0.28017858195564,0.230522312039465
"VAST_RSR",3,50,1,"false_1",0,0.0822299960321878,0.08952448744585,0.358346904630199,FALSE,0.28017858195564,0.230522312039465
"VAST_Selected",3,50,1,"real",1,1.1087967563039,0.133677264176658,1.11022302462516e-16,TRUE,0.28087240168815,0.228321345929587
"Covariate_Only",4,50,1,"real",1,0.565683302399013,0.202088036749734,0.00740819673660923,TRUE,0.287419655880431,0.223669724561994
"Covariate_Only",4,50,1,"false_1",0,0.6713857389573,0.194744115986325,0.00120283887938207,TRUE,0.287419655880431,0.223669724561994
"VAST_GMRF",4,50,1,"real",1,0.712399792133306,0.27433388020215,0.00940871379762576,TRUE,0.302760259679374,0.232600248412099
