"Model","Simulation","Sample_Size","Covariate","True_Effect","Estimate","SE","p_value","Significant","RMSE_data","RMSE_latent","RMSE_cv_with_gmrf","RMSE_with_gmrf"
"Covariate_Only",1,200,"real",1,0.71818866609398,0.133229127958794,2.01491817763595e-07,TRUE,0.270558940160302,0.197729456054631,NA,NA
"Covariate_Only",1,200,"false_1",0,0.604884652963222,0.116727090022694,5.45807535066326e-07,TRUE,0.270558940160302,0.197729456054631,NA,NA
"Covariate_Only",1,200,"false_2",0,-0.142826194813059,0.185218308834316,0.441567082968442,FALSE,0.270558940160302,0.197729456054631,NA,NA
"Covariate_Only",1,200,"false_3",0,-1.19355478148749,0.0948374069606767,5.64475906877009e-27,TRUE,0.270558940160302,0.197729456054631,NA,NA
"VAST_Normal",1,200,"real",1,0.639298699984054,0.183776473304433,0.000503898519189416,TRUE,0.349045051516538,0.292510050856479,NA,0.0738824389804983
"VAST_Normal",1,200,"false_1",0,0.0938061887039106,0.18259228760258,0.607429083584401,FALSE,0.349045051516538,0.292510050856479,NA,0.0738824389804983
"VAST_Normal",1,200,"false_2",0,0.0691819641098738,0.199888578819953,0.729265582197198,FALSE,0.349045051516538,0.292510050856479,NA,0.0738824389804983
"VAST_Normal",1,200,"false_3",0,-0.313771600057781,0.20865594366325,0.132639300005823,FALSE,0.349045051516538,0.292510050856479,NA,0.0738824389804983
"VAST_RSR",1,200,"real",1,0.71818866609398,0.094640307495917,3.23074900165921e-14,TRUE,0.270558940160302,0.197729456054631,NA,0.0738824389804983
"VAST_RSR",1,200,"false_1",0,0.604884652963222,0.0829179614255829,2.9876101592663e-13,TRUE,0.270558940160302,0.197729456054631,NA,0.0738824389804983
"VAST_RSR",1,200,"false_2",0,-0.142826194813059,0.131571210969533,0.2776812708613,FALSE,0.270558940160302,0.197729456054631,NA,0.0738824389804983
"VAST_RSR",1,200,"false_3",0,-1.19355478148749,0.0673684613446531,0,TRUE,0.270558940160302,0.197729456054631,NA,0.0738824389804983
"VAST_Selected",1,200,"real",1,-0.0777053245664812,0.0845515737804799,0.3580805506727,FALSE,0.381226121706515,0.332928272178165,NA,0.0739959772461126
"Covariate_Only",2,200,"real",1,1.0953756963718,0.133972205703732,3.6727881097157e-14,TRUE,0.292605869333509,0.209336738048455,NA,NA
"Covariate_Only",2,200,"false_1",0,-0.377992010929492,0.106179475578841,0.000465992250221464,TRUE,0.292605869333509,0.209336738048455,NA,NA
"Covariate_Only",2,200,"false_2",0,-0.330509500606493,0.199647524507744,0.0994386389275403,FALSE,0.292605869333509,0.209336738048455,NA,NA
"Covariate_Only",2,200,"false_3",0,0.325914426584006,0.091229140633769,0.00044553225472635,TRUE,0.292605869333509,0.209336738048455,NA,NA
"VAST_Normal",2,200,"real",1,1.11484013661533,0.200818721173179,2.83269017131715e-08,TRUE,0.310278074454902,0.229323729699338,NA,0.0955746401421372
"VAST_Normal",2,200,"false_1",0,-0.0626488487329829,0.232898170656228,0.787932191098047,FALSE,0.310278074454902,0.229323729699338,NA,0.0955746401421372
"VAST_Normal",2,200,"false_2",0,-0.161225806734116,0.258684277998057,0.533118139914583,FALSE,0.310278074454902,0.229323729699338,NA,0.0955746401421372
"VAST_Normal",2,200,"false_3",0,0.115154561518091,0.194055056766467,0.552905590401112,FALSE,0.310278074454902,0.229323729699338,NA,0.0955746401421372
"VAST_RSR",2,200,"real",1,1.0953756963718,0.0826201098443163,0,TRUE,0.292605869333509,0.209336738048455,NA,0.0955746401421372
"VAST_RSR",2,200,"false_1",0,-0.377992010929492,0.0654804471528636,7.80605513561738e-09,TRUE,0.292605869333509,0.209336738048455,NA,0.0955746401421372
"VAST_RSR",2,200,"false_2",0,-0.330509500606493,0.123121809619621,0.00726577950150575,TRUE,0.292605869333509,0.209336738048455,NA,0.0955746401421372
"VAST_RSR",2,200,"false_3",0,0.325914426584006,0.0562606369027976,6.91653156970062e-09,TRUE,0.292605869333509,0.209336738048455,NA,0.0955746401421372
"VAST_Selected",2,200,"real",1,1.1181723475114,0.0704526168399748,0,TRUE,0.330489832565884,0.251808052655729,NA,0.0927237528495576
"Covariate_Only",3,200,"real",1,0.61078009158893,0.130917625395834,5.71285234177229e-06,TRUE,0.259146653951568,0.170986635965197,NA,NA
"Covariate_Only",3,200,"false_1",0,-0.162879178662277,0.103132401205382,0.115883169031958,FALSE,0.259146653951568,0.170986635965197,NA,NA
"Covariate_Only",3,200,"false_2",0,0.46280528455463,0.132841974289409,0.000610183789839426,TRUE,0.259146653951568,0.170986635965197,NA,NA
"Covariate_Only",3,200,"false_3",0,-0.118246383186387,0.165722658660714,0.476377304069241,FALSE,0.259146653951568,0.170986635965197,NA,NA
"VAST_Normal",3,200,"real",1,0.866367114085513,0.222206639936562,9.66205313529533e-05,TRUE,0.270994253263734,0.190237640126168,NA,0.0789059315344467
"VAST_Normal",3,200,"false_1",0,0.15114188613304,0.217385441935453,0.486885217952985,FALSE,0.270994253263734,0.190237640126168,NA,0.0789059315344467
"VAST_Normal",3,200,"false_2",0,0.176452711075272,0.209569088704367,0.399799870237769,FALSE,0.270994253263734,0.190237640126168,NA,0.0789059315344467
"VAST_Normal",3,200,"false_3",0,0.174924753866177,0.231709279428832,0.45028977346437,FALSE,0.270994253263734,0.190237640126168,NA,0.0789059315344467
"VAST_RSR",3,200,"real",1,0.61078009158893,0.0975993039734426,3.8985237260647e-10,TRUE,0.259146653951568,0.170986635965197,NA,0.0789059315344467
"VAST_RSR",3,200,"false_1",0,-0.162879178662278,0.076885373870181,0.0341354803447077,TRUE,0.259146653951568,0.170986635965197,NA,0.0789059315344467
"VAST_RSR",3,200,"false_2",0,0.462805284554631,0.0990339092227133,2.9654244854127e-06,TRUE,0.259146653951568,0.170986635965197,NA,0.0789059315344467
"VAST_RSR",3,200,"false_3",0,-0.118246383186387,0.123546513229293,0.338516720818812,FALSE,0.259146653951568,0.170986635965197,NA,0.0789059315344467
"VAST_Selected",3,200,"real",1,0.90334638134216,0.0467863041412336,0,TRUE,0.273372806647759,0.190397117226198,NA,0.0780821888425394
"Covariate_Only",4,200,"real",1,0.971312548475522,0.0917232517460047,5.42662543354626e-21,TRUE,0.246413361972779,0.147436114575451,NA,NA
"Covariate_Only",4,200,"false_1",0,-0.5865569793059,0.138009217330371,3.30928321403968e-05,TRUE,0.246413361972779,0.147436114575451,NA,NA
"Covariate_Only",4,200,"false_2",0,-0.128256401536793,0.0941683955013714,0.174772366823248,FALSE,0.246413361972779,0.147436114575451,NA,NA
"Covariate_Only",4,200,"false_3",0,0.010208387111052,0.09602203891384,0.915443338751514,FALSE,0.246413361972779,0.147436114575451,NA,NA
"VAST_Normal",4,200,"real",1,1.13233716521332,0.197745111375432,1.02677265578777e-08,TRUE,0.259877092248669,0.166045170199249,NA,0.0782475142882532
"VAST_Normal",4,200,"false_1",0,-0.126514865260612,0.22196449891523,0.568692668248028,FALSE,0.259877092248669,0.166045170199249,NA,0.0782475142882532
"VAST_Normal",4,200,"false_2",0,-0.0836427403345301,0.199477847121476,0.6749907458321,FALSE,0.259877092248669,0.166045170199249,NA,0.0782475142882532
"VAST_Normal",4,200,"false_3",0,-0.0765218128016241,0.197417489487061,0.698301594318786,FALSE,0.259877092248669,0.166045170199249,NA,0.0782475142882532
"VAST_RSR",4,200,"real",1,0.971312548475522,0.0764305828269709,0,TRUE,0.246413361972779,0.147436114575451,NA,0.0782475142882532
"VAST_RSR",4,200,"false_1",0,-0.586556979305899,0.114999465405606,3.38723047166312e-07,TRUE,0.246413361972779,0.147436114575451,NA,0.0782475142882532
"VAST_RSR",4,200,"false_2",0,-0.128256401536793,0.0784680570634483,0.102152937642104,FALSE,0.246413361972779,0.147436114575451,NA,0.0782475142882532
"VAST_RSR",4,200,"false_3",0,0.0102083871110519,0.0800126495595871,0.898477667290544,FALSE,0.246413361972779,0.147436114575451,NA,0.0782475142882532
"VAST_Selected",4,200,"real",1,0.837701577076816,0.0662376871893557,0,TRUE,0.261613537319077,0.167837603163288,NA,0.0768428741943598
"Covariate_Only",5,200,"real",1,0.78726169519252,0.063172210702825,1.33382575925148e-26,TRUE,0.232830343429624,0.130436874841509,NA,NA
"Covariate_Only",5,200,"false_1",0,0.0612037556905575,0.0915538002519477,0.504604757129591,FALSE,0.232830343429624,0.130436874841509,NA,NA
"Covariate_Only",5,200,"false_2",0,-0.218257668152471,0.0943247653855314,0.0217155610827623,TRUE,0.232830343429624,0.130436874841509,NA,NA
"Covariate_Only",5,200,"false_3",0,0.15230039858491,0.0709048224356898,0.0329509918825621,TRUE,0.232830343429624,0.130436874841509,NA,NA
"VAST_Normal",5,200,"real",1,0.904780035535386,0.140837560246268,1.32494459847976e-10,TRUE,0.241465008357177,0.147750560187661,NA,0.0900742520846855
"VAST_Normal",5,200,"false_1",0,-0.0071600132906724,0.174695814857182,0.967307373464201,FALSE,0.241465008357177,0.147750560187661,NA,0.0900742520846855
"VAST_Normal",5,200,"false_2",0,0.123995247914769,0.17456874383601,0.477521425719634,FALSE,0.241465008357177,0.147750560187661,NA,0.0900742520846855
"VAST_Normal",5,200,"false_3",0,0.0274760204289791,0.162418824496784,0.865664728222538,FALSE,0.241465008357177,0.147750560187661,NA,0.0900742520846855
"VAST_RSR",5,200,"real",1,0.78726169519252,0.0500325051327932,0,TRUE,0.232830343429624,0.130436874841509,NA,0.0900742520846855
"VAST_RSR",5,200,"false_1",0,0.0612037556905573,0.0725107753879425,0.398633484675717,FALSE,0.232830343429624,0.130436874841509,NA,0.0900742520846855
"VAST_RSR",5,200,"false_2",0,-0.218257668152471,0.0747053847854351,0.00348262168991331,TRUE,0.232830343429624,0.130436874841509,NA,0.0900742520846855
"VAST_RSR",5,200,"false_3",0,0.15230039858491,0.0561567476107782,0.00668667409107859,TRUE,0.232830343429624,0.130436874841509,NA,0.0900742520846855
"VAST_Selected",5,200,"real",1,0.900284036292611,0.0347827532204638,0,TRUE,0.237007555270273,0.13931008048718,NA,0.0900973628244507
"Covariate_Only",6,200,"real",1,0.703590014281845,0.129350294697157,1.58981897446504e-07,TRUE,0.260181885664104,0.189676039129789,NA,NA
"Covariate_Only",6,200,"false_1",0,0.0818829883129756,0.0704803157404507,0.246742763998123,FALSE,0.260181885664104,0.189676039129789,NA,NA
"Covariate_Only",6,200,"false_2",0,0.0579426668613905,0.17517032294666,0.741166564191499,FALSE,0.260181885664104,0.189676039129789,NA,NA
"Covariate_Only",6,200,"false_3",0,-0.340289845656696,0.100562022953477,0.00086388413696421,TRUE,0.260181885664104,0.189676039129789,NA,NA
"VAST_Normal",6,200,"real",1,0.841894965610521,0.203235706027701,3.43606335192481e-05,TRUE,0.26345936608655,0.191480186075447,NA,0.0702579552047497
"VAST_Normal",6,200,"false_1",0,0.150751383271999,0.185748909337764,0.41702870518805,FALSE,0.26345936608655,0.191480186075447,NA,0.0702579552047497
"VAST_Normal",6,200,"false_2",0,0.131114840184123,0.21769363643014,0.546980688451692,FALSE,0.26345936608655,0.191480186075447,NA,0.0702579552047497
"VAST_Normal",6,200,"false_3",0,-0.238842742761373,0.182297520377708,0.190134620598856,FALSE,0.26345936608655,0.191480186075447,NA,0.0702579552047497
"VAST_RSR",6,200,"real",1,0.703590014281846,0.0875078836625123,8.88178419700125e-16,TRUE,0.260181885664104,0.189676039129789,NA,0.0702579552047497
"VAST_RSR",6,200,"false_1",0,0.0818829883129755,0.0476812463763804,0.0859244336724491,FALSE,0.260181885664104,0.189676039129789,NA,0.0702579552047497
"VAST_RSR",6,200,"false_2",0,0.0579426668613902,0.11850598622469,0.624882085000137,FALSE,0.260181885664104,0.189676039129789,NA,0.0702579552047497
"VAST_RSR",6,200,"false_3",0,-0.340289845656696,0.0680320816128239,5.67672716389467e-07,TRUE,0.260181885664104,0.189676039129789,NA,0.0702579552047497
"VAST_Selected",6,200,"real",1,0.750735853622585,0.0591735777028483,0,TRUE,0.269241345081015,0.198822711004884,NA,0.0692021196582795
"Covariate_Only",7,200,"real",1,0.971180609890463,0.1270531247394,9.33840497460309e-13,TRUE,0.241157501248546,0.126313885177759,NA,NA
"Covariate_Only",7,200,"false_1",0,0.19650904737926,0.0754476551284104,0.00990752725921215,TRUE,0.241157501248546,0.126313885177759,NA,NA
"Covariate_Only",7,200,"false_2",0,-0.13051655651095,0.09182843209529,0.156824262821523,FALSE,0.241157501248546,0.126313885177759,NA,NA
"Covariate_Only",7,200,"false_3",0,0.198745660218534,0.106142925191919,0.0626433866402098,FALSE,0.241157501248546,0.126313885177759,NA,NA
"VAST_Normal",7,200,"real",1,0.813292639847579,0.208000857570005,9.22790629598325e-05,TRUE,0.245431008093744,0.144310416140824,NA,0.0750346593819814
"VAST_Normal",7,200,"false_1",0,0.0775928191254317,0.14755212314068,0.598980492641625,FALSE,0.245431008093744,0.144310416140824,NA,0.0750346593819814
"VAST_Normal",7,200,"false_2",0,-0.112894890181561,0.160756137639613,0.482508171127456,FALSE,0.245431008093744,0.144310416140824,NA,0.0750346593819814
"VAST_Normal",7,200,"false_3",0,0.262799100617766,0.181022175287007,0.146570888887985,FALSE,0.245431008093744,0.144310416140824,NA,0.0750346593819814
